"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 11 14:36:02 ICT 2022","Thu Aug 11 14:36:05 ICT 2022","2965","Regression Test","Global UI","test.global.footer.FooterTest","test.global.footer.FooterTest","testFooterCategoryPage","testFooterCategoryPage",""
"passed","Thu Aug 11 14:36:06 ICT 2022","Thu Aug 11 14:36:23 ICT 2022","17058","Regression Test","Global UI","test.global.footer.FooterTest","test.global.footer.FooterTest","testFooterHomePage","testFooterHomePage",""
